ID,GENERO,ESTADO_CIVIL,EDAD,GRADO_INSTRUCCION,CONDICION_VIVIENDA,NUMERO_DEPENDIENTES,DPTO_DOMICILIO,ANTIGUEDAD_DOMICILIO,TIPO_TRABAJADOR,TIENE_VEHIVULO,LIQUIDEZDISPONIBLE,ACTIVIDAD_ECONOMICA,DEUDAS_NEGATIVAS,T_D_AC_VEN_MA30_3M,RT_N_ENT_M0_3M,ANTIGUEDAD_LABORAL,UTILIDADOPERATIVA,VENTASNETAS,ENDEUDAMIENTOPATRIMONIAL,MARGENOPERATIVO,CICLOFINANCIERO,SEGMENTO,TARGET
20,M,S,36,TECNICO,DE FAMILIAR,4,LIMA,23,INDEPENDIENTE,False,602.5,OTRAS ACTIVIDADES,0,0,0,5,855,4900,0.22,20.85,30,3,0
21,F,S,47,PRIMARIA,PROPIO,2,APURIMAC,11,INDEPENDIENTE,False,888.28,VENTA AL POR MAYOR DE ANIMALES,0,0,0,5,1278,1200,0.46,27.54,30,3,0
22,M,S,18,PRIMARIA,DE FAMILIAR,3,PIURA,6,INDEPENDIENTE,False,380.5,TRANSPORTE,0,0,0,5,517.5,6640,0.22,44.61,15.47,2,0
23,F,S,38,MEDIO/SECUNDARIA,DE FAMILIAR,1,LAMBAYEQUE,16,INDEPENDIENTE,False,1065,OTRAS ACTIVIDADES,0,1,1,4,1135,1680,0.22,90.07,30,2,0
24,F,S,47,MEDIO/SECUNDARIA,DE FAMILIAR,0,ICA,16,INDEPENDIENTE,False,1122,CRIA DE ANIMALES DOMESTICOS,0,0,0,6,1980,3150,0.22,66,81.81,2,0
25,F,S,29,MEDIO/SECUNDARIA,PROPIO,2,SAN MARTIN,9,INDEPENDIENTE,False,1727,BODEGAS,0,0,0,0,3856,2650,0.95,18.37,34.48,2,0
26,M,S,34,MEDIO/SECUNDARIA,PROPIO,2,HUANCAVELICA,9,DEPENDIENTE,False,362.29,BODEGAS,0,0,0,5,889.29,2500,0.22,25.85,30,1,0
27,M,S,31,PRIMARIA,DE FAMILIAR,2,CAJAMARCA,26,INDEPENDIENTE,False,679.2,VENTA AL POR MAYOR DE ANIMALES,0,0,0,11,729.2,26560,0.22,6.65,78.93,1,0
28,M,S,37,TECNICO,PROPIO,2,AYACUCHO,6,INDEPENDIENTE,True,3129.67,VENTA DE COMIDAS,0,0,0,5,2923,4680,0.09,22.83,9.61,3,0
29,F,S,31,MEDIO/SECUNDARIA,DE FAMILIAR,2,PUNO,15,INDEPENDIENTE,False,951.2,VENTA DE COMIDAS,0,0,0,5,956.2,1780,0.22,19.92,116.25,1,0
30,F,S,52,MEDIO/SECUNDARIA,PROPIO,1,LORETO,16,INDEPENDIENTE,False,740,VENTA DE VERDURAS Y FRUTAS,0,0,0,5,1270,2960,0.22,46.69,30,3,0
31,M,S,54,MEDIO/SECUNDARIA,PROPIO,0,LIMA,21,INDEPENDIENTE,True,3488.94,VENTA DE VERDURAS Y FRUTAS,0,1,1,5,3461.92,8400,0.22,8.92,4.39,3,0
32,F,C,51,MEDIO/SECUNDARIA,PROPIO,0,LIMA,16,INDEPENDIENTE,True,516.74,PANADERIA,0,0,0,5,1884.42,21600,0.16,28.78,3.25,3,0
33,F,S,29,MEDIO/SECUNDARIA,ALQUILADO,0,AYACUCHO,3,INDEPENDIENTE,False,946,VENTA DE COMIDAS,0,0,0,5,1291,3500,0.22,18.98,30.29,3,0
34,F,S,59,MEDIO/SECUNDARIA,DE FAMILIAR,0,LIMA,3,INDEPENDIENTE,True,520,TRANSPORTE,0,0,0,5,470,9940,0.22,27.97,82.72,3,1
35,F,S,43,MEDIO/SECUNDARIA,PROPIO,5,LORETO,7,INDEPENDIENTE,False,798,VENTA DE CARNE Y DERIVADOS,0,0,0,5,1616,4400,0.22,73.45,30,3,0
36,M,S,38,MEDIO/SECUNDARIA,PROPIO,0,CAJAMARCA,30,INDEPENDIENTE,False,1406,CULTIVOS AGRICOLAS,0,0,0,5,1056,4400,0.22,36.41,98.91,1,0
37,M,S,47,TECNICO,PROPIO,1,LIMA,15,INDEPENDIENTE,True,757.5,TRANSPORTE,0,0,0,5,1590,5060,0.22,70.98,39.52,3,0
38,F,S,61,PRIMARIA,PROPIO,0,CAJAMARCA,10,INDEPENDIENTE,False,816.07,VENTA DE PRODUCTO AGROPECUARIO,0,0,0,5,806.07,2340,0.22,18.74,30,1,0
39,M,S,30,PRIMARIA,PROPIO,0,CAJAMARCA,6,INDEPENDIENTE,False,622,VENTA AL POR MAYOR DE ANIMALES,0,1,0,5,742,2680,0.22,5.77,17.1,1,0
40,M,C,43,MEDIO/SECUNDARIA,DE FAMILIAR,2,LIMA,16,INDEPENDIENTE,False,368.4,BODEGAS,0,0,0,5,958.4,1700,0.22,19.96,45.79,3,0
41,M,C,42,MEDIO/SECUNDARIA,PROPIO,4,LAMBAYEQUE,16,INDEPENDIENTE,False,1420,OTRAS ACTIVIDADES,0,0,0,16,1790,18000,0.22,3.93,30,2,0
42,M,C,40,MEDIO/SECUNDARIA,DE FAMILIAR,2,LIMA,16,DEPENDIENTE,True,700,TRANSPORTE,0,0,0,5,700,2240,0.22,23.02,37.05,3,0
43,M,S,31,MEDIO/SECUNDARIA,DE FAMILIAR,0,LAMBAYEQUE,16,INDEPENDIENTE,False,314,OTRAS ACTIVIDADES,0,1,0,5,808,10700,0.22,64.12,8.81,2,0
44,M,S,23,MEDIO/SECUNDARIA,ALQUILADO,0,LIMA,4,INDEPENDIENTE,False,1352.05,VENTA DE ROPA -TEXTILES,0,0,0,5,1752.05,6800,0.22,15.26,14.5,3,0
45,F,S,42,MEDIO/SECUNDARIA,DE FAMILIAR,4,CAJAMARCA,16,INDEPENDIENTE,False,415,BODEGAS,0,1,0,5,800,2217.5,0.22,28.98,53.02,1,0
46,M,C,38,UNIVERSITRARIO,DE FAMILIAR,4,ICA,8,DEPENDIENTE,False,777,OTRAS ACTIVIDADES,0,0,0,5,1412,6100,0.22,45.25,34.7,2,0
47,F,S,38,MEDIO/SECUNDARIA,PROPIO,2,LORETO,14,INDEPENDIENTE,False,748.57,VENTA DE ROPA -TEXTILES,0,0,0,16,2228.57,7760,0.22,34.82,5.32,3,0
48,F,S,56,MEDIO/SECUNDARIA,PROPIO,0,LIMA,2,INDEPENDIENTE,False,1470.82,BAZAR,0,0,0,5,2000.91,5000,0.22,27.79,-34.46,3,0
49,F,V,62,MEDIO/SECUNDARIA,PROPIO,1,PIURA,19,DEPENDIENTE,False,2810,TRANSPORTE,0,0,0,5,3280,16800,0.22,68.33,47.61,2,0
50,F,S,41,PRIMARIA,DE FAMILIAR,2,CAJAMARCA,21,INDEPENDIENTE,False,680,BODEGAS,0,1,0,5,735,4800,0.22,22.4,1.25,1,0
51,F,S,34,TECNICO,DE FAMILIAR,1,CAJAMARCA,11,DEPENDIENTE,False,628.11,LICORERIA,0,1,0,5,683.11,1680,0.22,13.71,30,1,0
52,F,C,44,MEDIO/SECUNDARIA,DE FAMILIAR,0,LA LIBERTAD,35,INDEPENDIENTE,False,560,VENTA DE PESCADOS Y MARISCOS,0,0,0,5,1240,3520,0.22,26.49,49.58,3,0
53,F,C,41,MEDIO/SECUNDARIA,PROPIO,2,LIMA,6,INDEPENDIENTE,True,1424.25,OTRAS ACTIVIDADES,0,0,0,5,2682.5,80000,0.22,36.74,30,3,0
54,M,C,32,MEDIO/SECUNDARIA,PROPIO,2,APURIMAC,11,INDEPENDIENTE,True,2356.6,VENTA DE VERDURAS Y FRUTAS,0,0,0,5,2819.6,11200,0.22,19.74,26.04,3,0
55,M,C,37,PRIMARIA,PROPIO,2,SAN MARTIN,18,INDEPENDIENTE,True,4862,BODEGAS,0,0,0,5,5622,27640,0.22,16.92,25.21,2,0
56,F,C,46,MEDIO/SECUNDARIA,PROPIO,1,CAJAMARCA,16,DEPENDIENTE,False,2179.44,BODEGAS,0,0,0,5,2103,10000,0.78,40.44,37.5,1,0
57,M,S,25,MEDIO/SECUNDARIA,DE FAMILIAR,1,LA LIBERTAD,7,INDEPENDIENTE,False,732,OTRAS ACTIVIDADES,0,0,0,5,1410,5960,0.22,52.22,18.08,3,0
58,F,V,52,TECNICO,PROPIO,1,CALLAO,27,DEPENDIENTE,False,870.57,OTRAS ACTIVIDADES,0,0,0,5,229.3,2420,0.22,12.59,30,3,0
59,F,S,33,MEDIO/SECUNDARIA,PROPIO,0,LA LIBERTAD,16,INDEPENDIENTE,False,1734,BODEGAS,0,0,0,5,2414,2930,0.22,17.24,166.34,3,0
60,M,C,53,PRIMARIA,PROPIO,2,CAJAMARCA,8,INDEPENDIENTE,False,887.79,PANADERIA,0,0,0,5,697.79,7660,0.22,10.2,30,1,0
61,F,S,50,MEDIO/SECUNDARIA,PROPIO,4,LAMBAYEQUE,18,INDEPENDIENTE,False,602,OTRAS ACTIVIDADES,0,0,0,5,1052,8100,0.22,18.78,9.87,2,0
62,F,S,60,MEDIO/SECUNDARIA,PROPIO,0,LA LIBERTAD,12,DEPENDIENTE,False,326.6,LICORERIA,0,1,0,5,1339.6,1524,0.11,30.72,17.65,3,0
63,F,S,25,MEDIO/SECUNDARIA,PROPIO,2,LORETO,3,INDEPENDIENTE,False,305,OTRAS ACTIVIDADES,0,1,0,5,815,8200,0.22,77.61,30,3,0
64,M,C,61,PRIMARIA,PROPIO,2,CAJAMARCA,20,INDEPENDIENTE,False,920,VENTA DE PRODUCTOS LACTEOS,0,0,0,5,1620,7000,0.22,13.1,6.73,1,1
65,F,C,41,TECNICO,PROPIO,0,LAMBAYEQUE,2,INDEPENDIENTE,False,642,OTRAS ACTIVIDADES,0,0,0,5,1602,1680,0.22,52.69,8.03,2,0
66,M,S,51,MEDIO/SECUNDARIA,PROPIO,1,LIMA,14,INDEPENDIENTE,False,892.5,ZAPATERIAS,0,0,0,5,1800,1480,0.22,34.09,30,3,1
67,F,S,24,MEDIO/SECUNDARIA,ALQUILADO,2,LORETO,0,INDEPENDIENTE,False,984,VENTA DE COMIDAS,0,1,0,5,1854,23398.17,0.22,34.58,157.89,3,0
68,F,C,62,MEDIO/SECUNDARIA,PROPIO,0,LIMA,15,INDEPENDIENTE,False,452.5,BODEGAS,0,0,0,5,1270,19000,0.22,41.63,17.23,3,0
69,M,S,52,MEDIO/SECUNDARIA,PROPIO,1,HUANCAVELICA,11,INDEPENDIENTE,True,487.83,OTRAS ACTIVIDADES,0,0,0,5,1157.83,5240,0.22,29.09,50.41,1,0
70,F,S,42,MEDIO/SECUNDARIA,DE FAMILIAR,1,LIMA,16,INDEPENDIENTE,False,688.35,BODEGAS,0,0,0,5,1525.95,1650,0.22,27.74,30,3,0
71,F,S,58,MEDIO/SECUNDARIA,PROPIO,1,LAMBAYEQUE,25,INDEPENDIENTE,False,297,CRIA DE ANIMALES DOMESTICOS,0,0,0,26,597,5200,0.22,44.32,52.08,2,0
72,F,S,36,MEDIO/SECUNDARIA,ALQUILADO,0,LIMA,6,INDEPENDIENTE,False,410.8,OTRAS ACTIVIDADES,0,1,0,5,560.8,16500,0.22,14.75,13.21,3,0
73,F,S,44,PRIMARIA,PROPIO,2,AMAZONAS,16,INDEPENDIENTE,False,3635,VENTA AL POR MAYOR DE ANIMALES,0,0,1,5,4220,9976,0.2,44.89,30,1,0
74,M,C,45,TECNICO,PROPIO,1,JUNIN,16,INDEPENDIENTE,False,2973.5,OTRAS ACTIVIDADES,0,1,0,5,3503.5,9350,0.22,49,38.15,2,0
75,F,C,41,MEDIO/SECUNDARIA,PROPIO,2,CAJAMARCA,6,INDEPENDIENTE,False,270,VENTA DE ROPA -TEXTILES,0,0,0,5,825,18080,0.22,23.57,2.84,1,0
76,F,C,65,PRIMARIA,PROPIO,0,UCAYALI,6,INDEPENDIENTE,False,257,BODEGAS,0,0,0,5,595,9300,0.22,15.17,189.75,3,0
77,M,S,43,PRIMARIA,PROPIO,4,CAJAMARCA,4,INDEPENDIENTE,False,1781,BODEGAS,0,0,0,5,2316,3532,0.22,25.84,12.2,1,0
78,M,S,46,MEDIO/SECUNDARIA,DE FAMILIAR,2,PIURA,46,INDEPENDIENTE,False,340,VENTA DE COMIDAS,0,1,0,5,850,500,0.22,42.5,30,2,0
79,M,S,50,MEDIO/SECUNDARIA,DE FAMILIAR,1,PASCO,6,INDEPENDIENTE,False,1047.5,TRANSPORTE,0,0,1,5,1297.5,4040,0.22,36.69,35.38,2,0
80,F,S,29,PRIMARIA,PROPIO,2,HUANCAVELICA,6,INDEPENDIENTE,False,314,VENTA DE GRANOS,0,0,0,5,806,32040,0.22,22.89,30,1,0
81,F,S,31,MEDIO/SECUNDARIA,PROPIO,2,CAJAMARCA,6,INDEPENDIENTE,False,471.5,VENTA AL POR MAYOR DE ANIMALES,0,1,0,5,710,2040,0.15,17.06,63.72,1,0
82,F,S,41,PRIMARIA,ALQUILADO,2,AMAZONAS,2,INDEPENDIENTE,False,160,TRANSPORTE,1,1,0,5,80,24000,0.22,17.77,234.37,1,0
83,M,S,20,MEDIO/SECUNDARIA,DE FAMILIAR,0,JUNIN,0,INDEPENDIENTE,False,1430.8,BODEGAS,0,1,0,5,2330.8,3540,0.22,39.49,18.37,2,0
84,F,C,52,MEDIO/SECUNDARIA,PROPIO,2,LA LIBERTAD,16,INDEPENDIENTE,True,2551.84,OTRAS ACTIVIDADES,0,0,0,16,4778,6400,0.24,25.63,51.19,3,0
85,M,S,29,MEDIO/SECUNDARIA,DE FAMILIAR,0,LAMBAYEQUE,29,INDEPENDIENTE,False,2363.47,BODEGAS,0,1,0,5,3025,4240,0.05,11.16,19.11,2,0
86,F,S,24,MEDIO/SECUNDARIA,ALQUILADO,1,PASCO,11,DEPENDIENTE,True,893.44,BODEGAS,0,1,0,5,1078.44,5000,0.22,19.21,22.5,2,0
87,M,S,30,UNIVERSITRARIO,DE FAMILIAR,0,PUNO,30,INDEPENDIENTE,False,985.2,OTRAS ACTIVIDADES,0,0,0,5,1565.2,5600,0.22,18.81,110.92,1,0
88,M,C,62,PRIMARIA,PROPIO,1,PIURA,57,INDEPENDIENTE,False,274.58,CRIA DE ANIMALES DOMESTICOS,0,0,0,5,380,1300,0.22,37.62,66.22,2,0
89,M,S,24,MEDIO/SECUNDARIA,DE FAMILIAR,0,LIMA,16,DEPENDIENTE,True,690,OTRAS ACTIVIDADES,0,0,0,5,1700,6800,0.22,62.5,30,3,0
90,M,S,49,MEDIO/SECUNDARIA,PROPIO,1,HUANUCO,4,INDEPENDIENTE,False,150,BODEGAS,0,0,0,5,240,1920,0.22,5.08,30,1,0
91,F,C,56,PRIMARIA,PROPIO,0,PIURA,16,INDEPENDIENTE,False,1050,VENTA AL POR MAYOR DE ANIMALES,0,0,1,4,1800,4160,0.22,30,22.1,2,0
92,F,C,55,MEDIO/SECUNDARIA,PROPIO,1,LIMA,34,INDEPENDIENTE,False,470,VENTA DE COMIDAS,1,1,0,5,450.97,9372,0.22,5.93,17.68,3,0
93,F,S,24,MEDIO/SECUNDARIA,DE FAMILIAR,1,LAMBAYEQUE,8,INDEPENDIENTE,False,293,BODEGAS,0,1,0,5,573,10740,0.22,20.44,49.28,2,0
94,M,S,30,MEDIO/SECUNDARIA,DE FAMILIAR,2,UCAYALI,16,INDEPENDIENTE,False,4040,OTRAS ACTIVIDADES,1,0,0,5,4550,6710,0.22,27.57,30,3,0
95,F,S,65,MEDIO/SECUNDARIA,DE FAMILIAR,5,PASCO,8,INDEPENDIENTE,False,745,VENTA DE COMIDAS,0,0,0,5,1185,2150,0.22,30.38,82.31,2,1
96,M,S,25,MEDIO/SECUNDARIA,DE FAMILIAR,2,LORETO,16,INDEPENDIENTE,False,277,BODEGAS,0,0,0,1,712,8340,0.22,29.66,42.13,3,0
97,F,S,55,PRIMARIA,PROPIO,1,AMAZONAS,50,INDEPENDIENTE,False,646,VENTA DE VERDURAS Y FRUTAS,0,0,0,5,636,5400,0.22,9.35,0.94,1,0
98,M,S,24,MEDIO/SECUNDARIA,DE FAMILIAR,1,CAJAMARCA,16,INDEPENDIENTE,False,301.4,CRIA DE ANIMALES DOMESTICOS,0,1,0,5,636.4,20040,0.22,58.17,14.82,1,0
99,F,S,23,MEDIO/SECUNDARIA,PROPIO,1,TUMBES,5,INDEPENDIENTE,False,1980,VENTA DE PESCADOS Y MARISCOS,0,0,0,6,1980,760,0.22,26.9,64.28,2,0
100,F,C,48,MEDIO/SECUNDARIA,PROPIO,2,PASCO,6,INDEPENDIENTE,False,326,BODEGAS,0,0,0,5,756,1200,0.22,19.38,30,2,0
101,M,S,24,MEDIO/SECUNDARIA,PROPIO,1,UCAYALI,4,INDEPENDIENTE,False,1809,BODEGAS,0,0,0,5,2570,2160,0.25,34.35,30,3,0
102,M,S,33,PRIMARIA,PROPIO,2,CAJAMARCA,20,INDEPENDIENTE,False,327.4,VENTA DE PRODUCTOS LACTEOS,0,0,0,5,692.4,5900,0.22,67.88,9.07,1,0
103,F,S,21,TECNICO,DE FAMILIAR,1,PIURA,16,INDEPENDIENTE,False,230,ZAPATERIAS,0,0,0,5,1000,4078,0.22,50,12.97,2,0
104,M,C,45,PRIMARIA,PROPIO,4,CAJAMARCA,2,INDEPENDIENTE,False,331.43,VENTA AL POR MAYOR DE ANIMALES,0,0,0,5,541.43,7730,0.22,24.49,3.39,1,0
105,M,S,20,TECNICO,DE FAMILIAR,0,PUNO,16,INDEPENDIENTE,True,863.5,TRANSPORTE,0,0,0,5,1353.5,3000,0.22,74.36,13.78,1,0
106,F,S,37,MEDIO/SECUNDARIA,ALQUILADO,3,LIMA,6,INDEPENDIENTE,False,186.41,OTRAS ACTIVIDADES,0,0,0,5,229.34,3696,0.22,4.03,16.23,3,0
107,M,S,41,MEDIO/SECUNDARIA,ALQUILADO,1,LIMA,11,INDEPENDIENTE,False,490,BODEGAS,0,0,0,5,750,700,0.22,9.76,30,3,0
108,F,S,25,MEDIO/SECUNDARIA,ALQUILADO,1,HUANUCO,6,INDEPENDIENTE,False,990,BODEGAS,0,0,0,5,970,6640,0.22,10.65,34.76,1,0
109,F,S,25,MEDIO/SECUNDARIA,PROPIO,1,SAN MARTIN,6,INDEPENDIENTE,False,803,VENTA DE COMIDAS,0,0,0,2,1448,960,0.22,25.13,312.5,2,0
110,M,C,58,MEDIO/SECUNDARIA,PROPIO,0,TUMBES,4,INDEPENDIENTE,False,732,BODEGAS,0,1,0,5,1032,3360,0.22,22.53,3.09,2,0
111,M,S,39,MEDIO/SECUNDARIA,DE FAMILIAR,1,CUSCO,4,INDEPENDIENTE,False,1488.33,VENTA DE COMIDAS,0,1,0,1,363.33,3518,0.22,40.37,53.67,3,1
112,M,S,22,MEDIO/SECUNDARIA,DE FAMILIAR,3,LORETO,16,DEPENDIENTE,False,385,TRANSPORTE,0,0,0,5,565,3360,0.22,80.71,20.78,3,0
113,M,C,63,PRIMARIA,PROPIO,1,AMAZONAS,27,INDEPENDIENTE,False,2513,VENTA AL POR MAYOR DE ANIMALES,0,0,0,10,3535,3240,0.22,11.78,52.8,1,0
114,F,S,48,MEDIO/SECUNDARIA,PROPIO,1,PASCO,6,INDEPENDIENTE,False,795,VENTA DE COMIDAS,0,0,0,5,1185,3000,0.22,29.62,30,2,0
115,F,C,37,MEDIO/SECUNDARIA,DE FAMILIAR,1,LIMA,10,INDEPENDIENTE,False,355.21,BODEGAS,0,0,0,5,1325.21,4250,0.22,19.48,37.21,3,0
116,F,S,28,MEDIO/SECUNDARIA,DE FAMILIAR,2,ANCASH,25,INDEPENDIENTE,False,650,BODEGAS,0,0,0,5,1550,1830,0.22,20.94,129.1,3,0
117,F,S,19,MEDIO/SECUNDARIA,DE FAMILIAR,0,LIMA,16,INDEPENDIENTE,False,881,OTRAS ACTIVIDADES,0,0,0,5,1790,1200,0.22,17.04,62.5,3,1
118,M,S,29,UNIVERSITRARIO,PROPIO,0,JUNIN,2,INDEPENDIENTE,False,205.25,TRANSPORTE,0,0,1,5,725.25,5040,0.22,32.37,30,2,0
119,M,S,31,MEDIO/SECUNDARIA,DE FAMILIAR,3,AYACUCHO,11,INDEPENDIENTE,False,695,OTRAS ACTIVIDADES,0,0,0,5,1590,5260,0.22,35.81,39.65,3,1
120,F,C,54,MEDIO/SECUNDARIA,DE FAMILIAR,1,LIMA,30,INDEPENDIENTE,True,1180,VENTA DE VERDURAS Y FRUTAS,0,0,0,5,2167,7840,0.22,20.25,22.23,3,0
121,M,S,21,MEDIO/SECUNDARIA,DE FAMILIAR,0,APURIMAC,21,INDEPENDIENTE,False,1134,CULTIVOS AGRICOLAS,0,0,0,5,904,1400,0.22,47.57,30,3,0
122,M,S,30,MEDIO/SECUNDARIA,DE FAMILIAR,0,ANCASH,11,INDEPENDIENTE,True,1102,TRANSPORTE,0,1,0,6,1932,9400,0.22,54.76,76.21,3,1
123,M,S,30,MEDIO/SECUNDARIA,DE FAMILIAR,0,PIURA,17,INDEPENDIENTE,False,2992,BODEGAS,0,0,0,5,3060,36000,0.22,39.74,30,2,0
124,F,S,31,PRIMARIA,PROPIO,0,CAJAMARCA,11,INDEPENDIENTE,False,686,CRIA DE ANIMALES DOMESTICOS,0,0,0,11,926,30000,0.22,26.3,15.11,1,0
125,M,S,33,MEDIO/SECUNDARIA,PROPIO,1,HUANUCO,2,INDEPENDIENTE,False,662,VENTA DE COMIDAS,0,0,0,5,1142,5000,0.22,26.31,31.2,1,0
126,F,S,35,TECNICO,PROPIO,1,SAN MARTIN,3,INDEPENDIENTE,False,480,OTRAS ACTIVIDADES,0,1,0,5,680,17360,0.22,48.57,1.55,2,0
127,F,S,42,TECNICO,PROPIO,2,LIMA,15,INDEPENDIENTE,False,2384.7,OTRAS ACTIVIDADES,0,0,0,5,9387.7,3200,0.22,39.11,30,3,0
128,F,S,31,MEDIO/SECUNDARIA,DE FAMILIAR,2,AMAZONAS,21,INDEPENDIENTE,False,815,VENTA DE ROPA -TEXTILES,0,1,0,6,1420,12600,0.22,42.26,20.93,1,0
129,M,C,46,PRIMARIA,PROPIO,3,PIURA,11,INDEPENDIENTE,False,400,CRIA DE ANIMALES DOMESTICOS,0,0,0,5,1060,6360,0.22,31.17,32.81,2,0
130,F,S,24,MEDIO/SECUNDARIA,PROPIO,3,CAJAMARCA,6,INDEPENDIENTE,False,1100,VENTA DE PRODUCTOS LACTEOS,0,1,0,5,1640,3440,0.22,23.69,33.86,1,1
131,F,S,37,MEDIO/SECUNDARIA,DE FAMILIAR,5,LORETO,9,INDEPENDIENTE,False,801.56,VENTA DE COMIDAS,0,1,0,5,1688.06,4440,0.22,52.75,17.66,3,0
132,F,S,57,MEDIO/SECUNDARIA,PROPIO,0,LIMA,15,INDEPENDIENTE,False,469,OTRAS ACTIVIDADES,0,1,1,5,460,3200,0.22,31.08,28.33,3,0
133,M,S,36,MEDIO/SECUNDARIA,DE FAMILIAR,2,PIURA,16,INDEPENDIENTE,False,297,CONSTRUCCION DE OBRAS EN GENERAL,0,0,0,5,952,9550,0.22,49.58,39.67,2,1
134,F,S,44,MEDIO/SECUNDARIA,PROPIO,1,LA LIBERTAD,16,INDEPENDIENTE,False,545,VENTA AL POR MAYOR DE ANIMALES,0,0,0,5,1055,2964,0.22,23.23,1.37,3,0
135,F,S,29,MEDIO/SECUNDARIA,DE FAMILIAR,2,AYACUCHO,3,INDEPENDIENTE,False,982.16,BODEGAS,0,1,0,5,2094.16,2016,0.13,27.04,35.16,3,0
